ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
154,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Boston College,place-lake,0,253,77,0,3,0
155,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Lechmere,place-lech,14874,0,77,193,0,193
156,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Longwood Medical Area,place-lngmd,56,4458,77,1,58,122
157,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Longwood,place-longw,173,2555,77,2,33,136
158,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Museum of Fine Arts,place-mfa,35,1048,77,0,14,180
159,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Mission Park,place-mispk,1,496,77,0,6,26
160,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Newton Highlands,place-newtn,37,2409,77,0,31,68
161,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Newton Centre,place-newto,67,1229,77,1,16,99
162,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,North Station,place-north,23886,1511,77,310,20,420
163,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Northeastern University,place-nuniv,199,2094,77,3,27,193
164,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Park Street,place-pktrm,51148,48966,77,664,636,1659
165,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Pleasant Street,place-plsgr,32,350,77,0,5,57
166,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Prudential,place-prmnl,635,9204,77,8,120,239
167,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Riverside,place-river,0,907,77,0,12,0
168,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Reservoir,place-rsmnl,837,801,77,11,10,127
169,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Riverway,place-rvrwy,7,582,77,0,8,18
170,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Saint Mary Street,place-smary,37,2462,77,0,32,54
171,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,South Street,place-sougr,0,53,77,0,1,3
172,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Science Park,place-spmnl,6290,11183,77,82,145,130
173,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Sutherland Road,place-sthld,6,38,77,0,0,12
174,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Saint Paul Street,place-stplb,60,443,77,1,6,61
175,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Saint Paul Street,place-stpul,37,177,77,0,2,43
176,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Summit Ave.,place-sumav,30,346,77,0,4,20
177,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Symphony,place-symcl,698,2391,77,9,31,217
178,0,Fall 2019,Green,Green Line,0,day_type_01,weekday,time_period_02,EARLY_AM,Tappan Street,place-tapst,2,276,77,0,4,10
